Name,"Description",Tags
Gem Repair,"When a Mox card you control perishes by combat, draw a card from your side deck and place it in its place.",has_color
Gem-locked,"This card's power is equal to 3 minus the number of Mox cards you control.","power_sigil, has_color"
Generator,"During your end step, gain 1 {resource:max_energy} max energy.",has_color
Generosity Bearer,"When this card perishes by combat, draw two cards.",
Generous when Powered,"If this card is between two Conduit cards, draw 2 cards when it perishes.",
Gift Bearer,"When this card perishes by combat, draw a card.",
Glooming Dust,"Once per turn during your play step, shatter a Mox card you control to reduce the power of any card on the field by 1 until it perishes.",has_color
Go Fetch,"While this card is on the field, draw a card everytime a Canine card you control perishes by combat.",
Green Conduit,"If you control another Conduit card, this one provides one {resource:green_gem} Green gem.","conduit_sigil, mox_green, has_color"
Green Gem,"This card provides one {resource:green_gem} Green gem.","mox_green, has_color"
Guardian,"When your opponent places a card opposite of an empty space, move this card to that space.",
Handy,"When played, discard your hand, and draw an equivalent number of cards, plus 2.",
Haunted Stonework,"All other cards you control with {sigil:MadeofStone} ""Made of Stone"" have 1 more power, and all cards in your hand with {sigil:MadeofStone} ""Made of Stone"" cost 3 fewer {resource:bone} bones to play.",
Haunter,"When this card perishes, leave it sideways on the field. Treat its space as empty until another card enters it. That card inherits all its other sigils.",
Haunting Reflection,"When this card perishes, the next card to be placed in its space will have power equal to the card currently opposing it.",
Heal Conduit,"Cards between this and another Conduit card gain 1 health during your end step, up to 5.",conduit_sigil
Heart of Dust,"Each time a Mox card you control perishes outside of combat, this card gains 1 health, up to 5.",has_color
Hearty Offering,"When sacrificed, this card provides as much {resource:blood} blood as its current health.",has_color
Heavy Wings,"If this card has 3 power or less, it attacks the opposing space directly.",has_color
Hefty,"During your end step move this card to an adjacent space, pushing other cards in its way if needed.",
Hoarder,"When played, search any common card from your main deck.",
Horde,"When this card kills another, search a common card sharing at least one of this card's tribes to your hand.",
Hotfix,"When a Tech card you control with 0 base power perishes by combat, draw a card from your side deck.",
Humgry,"When played the opponent must discard a card of their choice from their hand, if they have one.",
Illusion Dust,"During your end step, all other cards you control will behave as though you just shattered a Mox card.",has_color
Imitation Art,"When played, search a copy of any card on your field.",
Immortal Latch,"When this card perishes by combat, choose any card on the field. When it perishes, it goes back to your hand.",
Immortal Transformer,"During your end step toggle this card's {mark:transform} Transform mark. If this card perishes while marked, it goes back to your hand.",
Infinifold,"Once per turn, shatter a Mox card to double this card's power, up to 9999999999999999999999999999999999.",
Infinite Knowledge,"When any Cultist card you control perishes, draw a card.",
Iron Wall,"When another Chess card you control is struck, this card receives the damage instead.",
Leader,"Adjacent cards have 1 more power.",
Leading Arcane,"If you provide 2 unique colors of gems, adjacent cards have 1 more power.",has_color
Leep Leader,"All other Leep cards you control have 1 more power.",
Leep Legion,"During your end step, move this card to an adjacent empty space and play a ""L33pbot"" from your side deck in its previous space.",
Legion,"When played, search a common card from your discard that shares a tribe with this card, and place it for free in any empty space on your side.",
Lethal Arcane,"If you provide 2 unique colors of gems when this card damages another, that card perishes.",has_color
Lethal Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, any card that it damages will perish.",
Life Donor,"When sacrificed, this card loses 1 health for each {resource:blood} blood it provides instead of perishing.",has_color
Lifeblood,"All other cards you control can be sacrificed, no matter what they say.",has_color
Loaded,"When this card perishes, draw a total of 3 cards from your main and/or side deck.",
Loose Bones,"During your end step, move this card to an adjacent empty lane, generating 1 {resource:bone} bone.",has_color
Loose Tail,"The first time this card would be struck shift it to an adjacent empty space, then search and place a ""TOKEN"" in its old space.",
Looter,"When this card deals direct damage, draw a card for each point of damage it dealt.",
Lord of Beast,"Each time you sacrifice this card it gains 1 power, to a maximum of 5.",has_color
Made of Stone,"This card's power cannot be reduced, and it ignores the {sigil:TouchofDeath} ""Touch of Death"" sigil.",
Magnificent Gem,"This card provides a {resource:green_gem} Green gem, an {resource:orange_gem} Orange gem and a {resource:blue_gem} Blue gem.","mox_green, mox_orange, mox_blue, has_color"
Many Lives,"This card does not perish when sacrificed.",
Marrow Blast,"When this card perishes, it deals 5 damage to any adjacent cards. If it perished by combat, this also applies to the opposing card. You gain 1 {resource:bone} bone for each card killed this way.",has_color
Mass Grave,"This card provides 3 {resource:bone} bones during your end step.",
Mech Builder,"When played, search any common Mechabeast card into your hand.",
Memoriam,"When another card you control perishes, gain an additional {resource:bone} bone.",
Mental Fortitude,"While there are at least 2 cards in your hand, cards you control will ignore the {sigil:GemDependent} ""Gem Dependent"" sigil.",
Mental Gemnastics,"When played, look at as many cards from your deck as Mox cards you control, and add one to your hand. Shuffle the rest back into your deck.",has_color
Mighty Leap,"If this card's space would be struck directly, this card takes the damage instead.",
Morsel,"When sacrificed, it's health is added to the card it was sacrificed to.",
Mox Dropper,"During your end step, move this card to an adjacent empty space. Search any Mox card from your side deck and place it in its previous space.",has_color
Nameless,"This card counts as every possible tribe.",
Night of the Living Dead,You may play Undead cards for 2 fewer {resource:bone} bones.,
Nine Lives,"This card does not perish when sacrificed. After sacrificing it 9 times, search a ""TOKEN"" and place it over this.",
No Max Reduction,"While this card is on the field, your {resource:max_energy} maximum energy cannot decrease.",has_color
Null Conduit,"This card counts as a ""Conduit"" card.",conduit_sigil
Offense Upgrade,"All Tech cards you control with exactly 1 base power have 1 more power.",
Orange Conduit,"If you control another Conduit card, this one provides one {resource:orange_gem} Orange gem.","conduit_sigil, mox_orange, has_color"
Orange Gem,"This card provides one {resource:orange_gem} Orange gem.","mox_orange, has_color"
Overcharge,"For every {resource:max_energy} max energy you would have gained when already at 12, this card gains 1 power, up to 7.",has_color
Overclock Conduit,"Cards between this and another Conduit card have 2 additional power, but perish during your end step.",conduit_sigil
Overclocked,"When this card kills another, gain 1 max energy {resource:max_energy} and refill 1 {resource:energy} energy.",has_color
Overcoat,All Mox cards you control provide a {resource:prism_gem} gem of any color.,has_color
Overpower,All other cards you control have 2 more power.,
Pack Tactics,"When another card sharing a tribe with this one is struck, this card strikes the card that struck it.",
Pay Tribute,"During your play step, sacrifice a card you control to increase this card's power by 1 and gain {resource:bone} bones equal to the sacrificed card's max health. It will perish regardless of its sigils.",has_color
Piercing,"When this card strikes another, half of the damage taken, rounded down, is also dealt directly.",
Plague,"While this card is on the field, when a Vermin card you control damages another, that card perishes.",
Poisonous,"During your opponent's end step, the opposing card loses 1 health.",
Polymorph,"When played, the opponent must discard the card opposing this one and place their deck's top card in its place.",
Power Dice,"When played, roll a d6. This card's power is equal to the result.",power_sigil
Power Hemanation,"When sacrificed toggle this card's {mark:transform} Transform mark. While marked, this card has 2 more power.",has_color
Power when Powered,"If this card is between two Conduit cards, gain 1 max energy {resource:max_energy} during your end step.",has_color
Primed Explosive,"This card loses 1 health during your end step. Perishing from this counts as perishing by combat.",
Prism Conduit,"If you control another Conduit card, this one provides one {resource:prism_gem} gem of any color.","conduit_sigil, mox_prism, has_color"
Prism Gem,"This card provides one {resource:prism_gem} gem of any color.","mox_prism, has_color"
Prism Latch,"When this card perishes by combat, choose any card on the field. It now provides one {resource:prism_gem} gem of any color.",has_color
Prophecy,"While this card is on the field, any time you would draw an unspecified card from your deck, search any card from your deck instead.",
Prosperity,"During your end step, all other cards you control gain 1 health, up to 5.",
Puppet Master,"Cards you control with {sigil:Brittle} ""Brittle"" will not perish from it, but will immediately perish when this card dies.",
Purist,The opposing card is treated as having no sigils.,
Putrid Essence,"The opposing card's power is reduced by the number of Mox cards you control.",has_color
Rabbit Hole,"When played, search 1 ""Rabbit"" into your hand.",
Rabbit Soul,"When sacrificed, search 1 ""TOKEN"" into your hand.",
Raging Flames,"During your end step, this card loses 1 health and gains 1 power.",
Rampager,"During your end step move this card to an adjacent space, swapping places with the card in that place.",
Rattle 'em!,"Cards you control with {sigil:Brittle} ""Brittle"" may target any enemy space each time they strike.",
Ravenous,"During your end step, this card loses 1 health unless you sacrifice a card to it.",has_color
Re-Index,"When played, search 1 common card from your deck and discard each costing up to 6 {resource:energy} energy.",has_color
Reaction Replica,"When playing a card, take it off the field and play it a second time for free. This only applies once per card.",
Recall the Broken,"When any card you control perishes due to {sigil:Brittle} ""Brittle"", return it to your hand.",
Regurgitate,"When played, draw and play a card from your side deck in each adjacent space.",
Remote Bomb,"When played, search and place any common card with {sigil:Detonator} ""Detonator"" into each empty space on either side of the field. They will be sent to your discard when perishing.",
Repulsing Arcane,"If you provide 2 unique colors of gems, this card cannot be attacked.",has_color
Repulsing Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, this card cannot be attacked.",
Repulsive,"This card cannot be attacked.",
Restructure,"When played, you may move all cards you control to any spaces on your field.",
Rooted,"This card cannot be moved from the space it was placed in until it perishes.",
Rotting,"During your end step, this card loses 1 health and power.",
Ruby Heart,"When this card perishes by combat, search and place a ""Ruby Mox"" in its place.",has_color
Sacrifices Must Be Made,"This card's cost must be paid by sacrificing at least 3 cards.",
Salvation,"On its owner's second end step after this card was played, it is moved to the discard pile without perishing.",
Scalebound,"You may move the scales 2 points closer to you in order to play this card for free.",
Scattered Bones,"This card's power is equal to half the number of unspent {resource:bone} bones you own, rounded down and to a maximum of 5.","power_sigil, has_color"
Scavenger,"Each time an opposing card perishes, gain 1 {resource:bone} bone.",
Scrounger,"When this card kills another, gain 1 {resource:bone} bone.",
Sea Shanty,"All cards you control with the {sigil:Brittle} ""Brittle"" sigil have 1 more power.",
Search Engine,"When played, search any card that costs {resource:energy} energy from your deck to your hand.",
Sentry,"Once per turn cycle, after a card enters the opposing space, this card deals it 1 damage.",
Shadow Arcane,"If you provide 2 unique colors of gems, other cards you control will behave as though you have 3 more cards in your hand.",has_color
Shadow Hand,"While this card is on the field, other cards you control behave as though you have 3 more cards in your hand.",
Sharp Piercer,"When this card strikes another, half of the damage taken, rounded down, is also dealt directly. If this card has 1 power, it is rounded up instead.",
Sharp Quills,"When a card damages this card, it is dealt 1 damage in return.",
Shield Latch,"When this card perishes by combat, choose any card on the field. It gains an {mark:armor} Armor mark. When it would take damage, the mark is removed instead.",
Shovel Latch,"When this card perishes by combat, choose any card on the field. During its owner's end step, it generates 1 {resource:bone} bone.",
Side Hustle,"When this card deals direct damage, draw a card from your side deck for each point of damage dealt.",
Skeletal Horde,"When played, play a ""Skeleton"" from your side deck in each sempty space on your side.",
Skeleton Crew,"During your end step, move this card to an adjacent empty space, search a common Skeleton Pirate card, or a ""Skeleton"", and place it in its previous space.",
Skull Taker,"When this card kills another, gain 3 {resource:bone} bones.",
Snag,"When played, move 1 card on the field to an empty space on its own side.",
Snake Eyes,"When this card perishes, roll a d6. A corresponding amount of damage is dealt to adjacent cards, and, if this card perished by combat, to the opposing card.",
Sniper,"This card may target any enemy space each time it strikes.",
Sniper Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, it may target any enemy space each time it strikes.",
Soul Raiser,"When played, search up to 2 common Spectre cards from your deck and play them in adjacent spaces, paying their costs.",
Soul Stealer,"When this kills a card, gain {resource:max_energy} 1 max energy, refill 1 {resource:energy} energy, and increase this card's health by 1, up to 5.",has_color
Soul Strike,"When this card perishes by combat, select a Mox card you control. It gains 1 power and immediately strikes the opposing space.",has_color
Sparkling Dust,"Once per turn during your play step, shatter a Mox card you control to give 1 card you control 1 more power.",has_color
Spawn Conduit,"During your end step, search and place any common or side deck card costing up to 3 {resource:energy} energy in any empty space between this and another Conduit card.",conduit_sigil
Spiky Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, when a card damages this card, it is dealt 1 damage in return.",
Spilt Blood,"This card's power is equal to the number of sacrifices you made this turn, to a maximum of 5.","power_sigil, has_color"
Spine Ripper,"For each card in your discard with {sigil:Brittle} ""Brittle"", you may play this card for 1 less {resource:bone} bone.",
Spine Walker,"During your end step, move this card to an adjacent empty lane, generating 2 {resource:bone} bones.",
Spirit Medium,"When played, search any common Spectre card from your discard to your hand.",has_color
Spirit Spread,"During your end step, move this card to an adjacent empty space and place any Spectre card from your discard in its previous space.",
Split Strike,"When attacking, this card only strikes the lane left or right of the opposing space.",
Sprinter,"During your end step, move this card to an adjacent empty space.",
Squirrel Shedder,"During your end step, move this card to an adjacent empty space and play a ""Squirrel"" from your side deck in its previous space.",
Stalker,"The end step after this card is played, it gains 1 power.",
Starving Hemanation,"When sacrificed toggle this card's {mark:transform} Transform mark. While marked, this card has 2 more power and deals direct damage when attacking.",has_color
Stimulate,"During your play step, as many times per turn as you have Mox cards on your field, you may pay 3 energy to make this card gain 1 power, up to 5.",
Stinky,The opposing card has 1 less power.,
Strong Hand,"This card's power is equal to the number of cards in your hand, to a maximum of 5.",power_sigil
Swapper,"When this card takes damage, swap its current health and power values.",
Swarm,"When played, search up to 2 copies of this card from your discard and place them in adjacent empty spaces.",
Takeoff Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, this card deals direct damage when attacking and has 1 more power.",
Taunt,"Strikes targeting adjacent cards hit this one instead.",
Tentacleful,"On your next draw step, search and place any Tentacle card over this one.",
To a Flame,"Each time this card moves to a different space, draw a card.",
Tomb Digger,"This card provides 2 {resource:bone} bones during your end step.",
Touch of Death,"When this card damages another, that card perishes.",
Toxic Latch,"When this card perishes by combat, choose any card on the field. Any card that it damages will perish.",
traeH Power,"This card's power is equal to the opposing card's health.",power_sigil
Transmogutate,"Once per turn during your play step, sacrifice a card you control to search any Side Deck Mox card and place it in its place.",has_color
Tri-strike when Powered,"If this card is between two Conduit cards when attacking, it strikes the opposing space and the spaces adjacent to it. Additional power only apply to the first strike.",
Trifurcated Strike,"When attacking, this card strikes the opposing space and the spaces adjacent to it. Additional power only apply to the first strike.",
Trinket Bearer,"When payed you may either draw a card from your side deck, gain 4 {resource:bone} bones, or gain 2 max energy {resource:max_energy} and refill 2 {resource:energy} energy.",
True Prism,"This card's cost must be paid entirely with gems of unique colors.",has_color
True Scholar,"Once per turn during your play step, shatter a Mox card you control to draw 2 cards.",has_color
Truest Patron,"All cards you control with {sigil:Familiar} ""Familiar"" have 1 more power.",
Unburial,"When played, gain 1 {resource:bone} bone.",has_color
Undeath,"On your next draw step, search any common TOKEN card from your discard and place it in this card's space.",
Unearthed Pack,"When played, shuffle your discard pile and then show its top 5 cards to your opponent. Add 2 cards they select to your hand and discard the rest.",
Unholy Will,"All Cultist cards you control have 1 more power.",
Unkillable,"This card returns to your hand when it perishes.",
Unseelie Authority,"When playing a card, you may move the scales 1 point closer to you to decrease it's cost by 2 {resource:bone} bones. 3 if that card is a Spectre card.",
Unstable Arcane,"If you provide 2 unique colors of gems, any card that damages a Mox card is dealt 1 damage in return.",has_color
Upbringing,"When played, search any non-Side Deck free card from your main deck.",
Warper,"During your end step, move this card to any empty space on your side.",
Waterborne,"Strikes targeting this card deal damage directly instead.",
Wild Reshape,"On your next draw step, place your deck's top card in this card's space.",
Witching Hour,All Spectre cards you control have 1 more power.,
Worthy Sacrifice,"This card provides 3 {resource:blood} blood when sacrificed.",has_color
Yeetbot,"During your play step, discard a ""TOKEN"" from your hand to deal 3 damage to any card on the field.",
