Card Name,Art File,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit,Tags
Piranha,Piranha.png,Beast,Common,1 blood,1,1,"Aquanaut, Swarm, Bloodlust",,,Fish,Vicious pack-hunters of the rivers.,Ixams,
Porcupine,Porcupine.png,Beast,Common,1 blood,1,2,Sharp Quills,,,Vermin,"An ornery, ever-annoying rodent.",Pixel Profligate,
Raccoon,Raccoon.png,Beast,Common,1 blood,1,2,Scavenger,,,,A scrappy little gatherer.,Pixel Profligate,
Raven Egg,RavenEgg.png,Beast,Common,1 blood,0,2,Fledgling,Raven,,Avian,No less conniving in incubation.,Pixel Profligate,
Ray,Ray.png,Beast,Common,1 blood,1,1,Waterborne,,,Fish Conduit,It makes its own electrical surges.,syntaxevasion,
Ringworm,Ringworm.png,Beast,Common,1 blood,0,1,,,,Insect,"Resoundingly pointless, with little use.",Pixel Profligate,
River Otter,RiverOtter.png,Beast,Common,1 blood,1,1,Waterborne,,,,"Elusive, but not very menacing.",Pixel Profligate,
Salamander,Salamander.png,Beast,Common,1 blood,1,2,Poisonous,,,Amphibian,Just a touch could be deadly.,Pixel Profligate,
Skink,Skink.png,Beast,Common,1 blood,1,2,Loose Tail,Wriggling Tail,,Reptile,It is trying to evade death at any cost.,Pixel Profligate,
Skunk,Skunk.png,Beast,Common,1 blood,0,3,Stinky,,,,A horrid stench to keep predators away.,Pixel Profligate,
Sparrow,Sparrow.png,Beast,Common,1 blood,1,3,Airborne,,,Avian,"Meek and feeble, yes, but ever so useful.",Pixel Profligate,
Squirrel Ball,SquirrelBall.png,Beast,Common,1 blood,0,3,Squirrel Shedder,,,Vermin,"An odd, almost unnatural behavior.",Pixel Profligate,
Stoat,Stoat.png,Beast,Common,1 blood,1,3,,,,Vermin,"A lowly, but ever noble creature.",Pixel Profligate,
Tick,Tick.png,Beast,Common,1 blood,1,1,"Bloodsucker, Hearty Offering",,,Insect,A minor problem... if not ignored.,Pixel Profligate,
Warren,Warren.png,Beast,Common,1 blood,0,2,Rabbit Hole,Rabbit,Warren Trait,,A bountiful pit of hares.,Pixel Profligate,
Wolf Cub,WolfCub.png,Beast,Common,1 blood,1,2,Fledgling,Wolf,,Canine,"An ambitious predator, needing only time.",Pixel Profligate,
Worker Ant,WorkerAnt.png,Beast,Common,1 blood,0,2,,,Ant Power,Ant Insect,"Weak alone, but overwhelming in force.",Pixel Profligate,
Adder,Adder.png,Beast,Common,2 blood,2,2,Touch of Death,,,Reptile,"Always lethal, the caustic adder.",Pixel Profligate,
Beaver,Beaver.png,Beast,Common,2 blood,1,4,Dam Builder,,,Vermin,An industrious creature.,Pixel Profligate,
Bell Tentacle,BellTentacle.png,Beast,Common,2 blood,0,2,Bell Ringer,,,Tentacle,Interesting...,Pixel Profligate,
Bloodhound,Bloodhound.png,Beast,Common,2 blood,2,3,Guardian,,,Canine Hound,A fiercely loyal companion.,Pixel Profligate,
Crocodile,Crocodile.png,Beast,Common,2 blood,2,2,"Aquanaut, Piercing, Bloodlust",,,Reptile,The force of its bite is inescapable.,Ixams,
Dire Wolf Pup,DireWolfPup.png,Beast,Common,2 blood,1,2,"Fledgling, Bone Digger",Dire Wolf,,Canine,Sharpens its' teeth on scounged bones.,Pixel Profligate,
Elk,Elk.png,Beast,Common,2 blood,2,4,Sprinter,,,Hooved,"Hearty of form, but flighty of nature.",Pixel Profligate,
Field Mice,FieldMice.png,Beast,Common,2 blood,2,1,Fecundity,,,Vermin,"Where there is one, another is not far.",Pixel Profligate,
Fox,Fox.png,Beast,Common,2 blood,1,3,"Side Hustle, Sprinter",,,Canine,"A skittish, but cunning predator.","Murigen, Ixams",
Hand Tentacle,HandTentacle.png,Beast,Common,2 blood,X,2,,,Hand Power,Tentacle,Strange...,Pixel Profligate,
Hawk,Hawk.png,Beast,Common,2 blood,3,1,"Airborne, Aquanaut",,,Avian,A violently efficient bird of prey.,Pixel Profligate,
Leucochloridium,Leucochloridium.png,Beast,Common,2 blood,0,4,"Green Gem, Taunt",,,,Drawing the eyes of hungry beasts.,Synthia,
Mud Turtle,MudTurtle.png,Beast,Common,2 blood,2,2,Armored,,,Reptile,"A frail turtle, protected by its shell.",Pixel Profligate,
Octopus,Octopus.png,Beast,Common,2 blood,2,1,Evasion,,,,An ingenious escape artist.,Murigen,
Pronghorn,Pronghorn.png,Beast,Common,2 blood,1,3,"Sprinter, Bifurcated Strike",,,Hooved,"Oddly sadistic, this venerable beast.",Pixel Profligate,
Rat King,RatKing.png,Beast,Common,2 blood,2,1,Bone King,,,Noble Vermin,"Tragic royalty, destined to crumble.",Pixel Profligate,
Raven,Raven.png,Beast,Common,2 blood,2,3,Airborne,,,Avian,"Horribly clever, this blight of a bird is.",Pixel Profligate,
River Snapper,RiverSnapper.png,Beast,Common,2 blood,1,6,Bastion,,,Reptile,Stalwart in the face of adversity.,Pixel Profligate,
Wild Bull,WildBull.png,Beast,Common,2 blood,3,2,Rampager,,,Hooved,Little can stop this rampaging brute.,Pixel Profligate,
Wolf,Wolf.png,Beast,Common,2 blood,3,2,,,,Canine,A proud and ferocious contender.,Pixel Profligate,
Blue Whale,BlueWhale.png,Beast,Common,3 blood,1,7,"Regurgitate, Aquanaut",,,Fish,A massive stomach for a big appetite.,"Nevernamed, Murigen",
Bullet Ant,BulletAnt.png,Beast,Common,2 blood,1,1,"Double Strike, Touch of Death",,,Ant Insect,A horrifyingly efficient pest.,Murigen,
Dire Wolf,DireWolf.png,Beast,Common,3 blood,2,3,"Double Strike, Bone Digger",,,Canine,"Truly unrelenting, this terrifying canine.",Pixel Profligate,
Great White,GreatWhite.png,Beast,Common,3 blood,4,3,"Ravenous, Waterborne",,,Fish,Go fish.,Pixel Profligate,
Grizzly,Grizzly.png,Beast,Common,3 blood,3,5,Aquanaut,,,,Its form speaks enough of its efficacy.,Pixel Profligate,
Wriggling Tail,WrigglingTail.png,Beast,Common,1 bone,0,2,,,,Reptile,It's hard to call it cowardly...,Pixel Profligate,
Dam,Dam.png,Beast,Common,2 bones,0,2,Bastion,,Bloodless,,The hard work of an industrious beast.,Pixel Profligate,bloodless_bg
Mealworm,Mealworm.png,Beast,Common,2 bones,0,2,Morsel,,,Insect,Does your mouth not water at the sight?,Pixel Profligate,
Opossum,Opossum.png,Beast,Common,2 bones,1,1,Scavenger,,,Vermin,"Resourceful, weak, but endearing.",Pixel Profligate,
Bat,Bat.png,Beast,Common,3 bones,2,1,Airborne,,,Bat Vermin,"A minor, meddlesome terror.",Pixel Profligate,
Cicada,Cicada.png,Beast,Common,3 bones,0,1,"Annoying, Fecundity",,,Insect,Its incessant buzz brought insanity.,Pixel Profligate,
Coyote,Coyote.png,Beast,Common,3 bones,2,1,,,Double Scavenger,Canine,A meager but dangerous scavenger.,Pixel Profligate,
Hornet,Hornet.png,Beast,Common,4 bones,1,2,"Airborne, Dive Bomb",,,Insect,Determined to inflict its aggression.,Murigen,
Alpha,Alpha.png,Beast,Common,5 bones,1,2,Leader,,,Canine,"A venerable leader, emboldening others.",Pixel Profligate,
Corpse Maggots,CorpseMaggots.png,Beast,Common,5 bones,1,2,Corpse Eater,,,Insect,"Always inevitable, emerging from death.",Pixel Profligate,
Rattler,Rattler.png,Beast,Common,5 bones,3,1,,,,Reptile,"Brittle, if you can survive its bite.",Pixel Profligate,
Wolverine,Wolverine.png,Beast,Common,5 bones,1,3,Bloodlust,,,,"A vicious beast, bathed in blood.",Pixel Profligate,
Turkey Vulture,TurkeyVulture.png,Beast,Common,8 bones,3,3,Airborne,,,Avian,A horrid tyrant upon the skies.,Pixel Profligate,
Black Goat,BlackGoat.png,Beast,Uncommon,1 blood,0,1,Worthy Sacrifice,,,Hooved,"A true sacrifice, despite all the blood.",Pixel Profligate,
Cat,Cat.png,Beast,Uncommon,1 blood,0,1,Many Lives,Undead Cat,Nine Lives,,"It may not die, but it does feel the pain.",Pixel Profligate,
Rooster,Rooster.png,Beast,Uncommon,1 blood,2,2,"Annoying, Sprinter",,,Avian,Picking fights with everything.,Ixams,
Strange Frog,StrangeFrog.png,Beast,Uncommon,1 blood,0,2,"Mighty Leap, Deathtrap",,Bloodless,Amphibian Machine,A curious gadget in the shape of a beast.,Pixel Profligate,bloodless_bg
Ant Queen,AntQueen.png,Beast,Uncommon,2 blood,1,3,Ant Spawner,,,Noble Ant Insect,"Regal, royal, and a mother of pests.",Pixel Profligate,
Cane Toad,CaneToad.png,Beast,Uncommon,2 blood,1,5,"Mighty Leap, Poisonous",,,Amphibian,"An ancient, voracious specimen.",Pixel Profligate,
Magpie,Magpie.png,Beast,Uncommon,2 blood,1,1,"Hoarder, Airborne",,,Avian,A collector of trinkets and trash alike.,Pixel Profligate,
Pack Mule,PackMule.png,Beast,Uncommon,2 blood,0,4,"Sprinter, Loaded",,,Hooved,"Defenseless, but well-stocked.",Pixel Profligate,
Red Hart,RedHart.png,Beast,Uncommon,2 blood,X,2,Sprinter,,Blood Power,Hooved,"A sanguine beast, doused in blood.",Pixel Profligate,
Salmon,Salmon.png,Beast,Uncommon,2 blood,2,1,"Waterborne, Sprinter",,,Fish,Expectedly slippery. Surprisingly strong.,Pixel Profligate,
Lammergier,Lammergier.png,Beast,Uncommon,3 blood,X,4,Airborne,,"Lammergier Trait, Bone Power",Avian,A horrific bird with a peculiar diet.,Pixel Profligate,
Moose Buck,MooseBuck.png,Beast,Uncommon,3 blood,2,7,"Hefty, Mighty Leap",,,Hooved,A towering and ever-powerful beast.,Pixel Profligate,
Cockroach,Cockroach.png,Beast,Uncommon,4 bones,1,1,Unkillable,,Boneless,Insect,"An immortal, persistent nuisance.",Pixel Profligate,
Geck,Geck.png,Beast,Rare,free,1,1,,,,Reptile,"Uninspiring, but charming despite it all.",Pixel Profligate,
Hrokkall,Hrokkall.png,Beast,Rare,1 blood,1,1,"Waterborne, Overclocked",,,Fish,"Vicious in looks, but frail in nature.",Pixel Profligate,
Mantis God,MantisGod.png,Beast,Rare,1 blood,1,1,Trifurcated Strike,,,Insect,A perfect incarnation of terror.,Pixel Profligate,
Mole Man,MoleMan.png,Beast,Rare,1 blood,0,6,"Burrower, Mighty Leap, Bone Digger",,,Vermin Cryptid,"An unyielding, ultimate defense.",Pixel Profligate,
Amalgam,Amalgam.png,Beast,Rare,2 blood,3,3,,,Amalgam Trait,,Amalgam is all.,Pixel Profligate,
Child 13,Child13.png,Beast,Rare,1 blood,0,1,"Many Lives, Starving Hemanation",,,Hooved Cryptid,"Left abandoned, cursed, and hungry.",Pixel Profligate,
Great Kraken,GreatKraken.png,Beast,Rare,1 blood,1,1,Waterborne,,Kraken trait,,It just wants love.,Pixel Profligate,
Hodag,Hodag.png,Beast,Rare,2 blood,1,3,"Bloodlust, Bloodsucker",,,Cryptid,"A fearsome, hellacious creature.",Pixel Profligate,
Ouroboros,Ouroboros.png,Beast,Rare,2 blood,2,2,Unkillable,,,Reptile Cryptid,It will always return.,Pixel Profligate,
Pack Rat,PackRat.png,Beast,Rare,2 blood,2,2,Trinket Bearer,,,Vermin,A prudent rat bearing trinkets.,Pixel Profligate,
Wendigo,Wendigo.png,Beast,Rare,2 blood,3,2,"Corpse Eater, Ravenous",,,Cryptid,A ravenous beast with insatiable hunger.,Pixel Profligate,
White Whale,WhiteWhale.png,Beast,Rare,3 blood,2,7,"Regurgitate, Piercing, Aquanaut",,,Fish,Whalers gone mad at the mere sight.,"Nevernamed, Murigen",
Urayuli,Urayuli.png,Beast,Rare,4 blood,7,7,,,3astly,Cryptid,This level of brutality needs no words.,Pixel Profligate,
Amoeba,Amoeba.png,Beast,Rare,2 bones,1,2,Amorphous,,,,"Always different, ever-changing.",PIxel Profligate,
Jackrabbit,Jackrabbit.png,Beast,Talking,1 blood,0,3,"Rabbit Hole, Prism Gem, Battery Bearer, Bone Digger",,,Vermin,"""Ah, young one! A pleasure to see you!""",Murigen,
Stunted Wolf,StuntedWolf.png,Beast,Talking,1 blood,2,2,,,,Mox Canine,"""Careful, now. Use me wisely.""",Pixel Profligate,
The Stoat,TheStoat.png,Beast,Talking,1 blood,1,3,Battery Bearer,,,Vermin,"""Yep, it's me. Nice topdeck.""",Pixel Profligate,
Conceited Cat,ConceitedCat.png,Beast,Talking,2 blood,1,1,"Annoying, Many Lives, Humgry",,,,"""You didn't need that card, right?""",Answearing Machine,
Cormorant,Cormorant.png,Beast,Talking,2 blood,2,2,"Airborne, Falconry",,,Avian,"""You play. I fish.""",Pixel Profligate,
Midwife Frog,MidwifeFrog.png,Beast,Talking,2 blood,1,4,Croaking Trap,,,Amphibian,"""Yet another turn of the skinning knife...""",Pixel Profligate,
Terrible Goose,TerribleGoose.png,Beast,Talking,2 blood,1,2,"Hoarder, Blood Battery, Airborne",,,Avian,"""Your deck's a lil' lel, not gonna lie.""",Bluemem,
Wild Mutt,WildMutt.png,Beast,Talking,2 blood,2,3,Gift Bearer,,Gift Dogs,Canine,"""'Tis a game o' chance! HEEEE-HAAW!!""",Pixel Profligate,
Noble Stag,NobleStag.png,Beast,Talking,3 blood,0,3,Many Lives,,Noble Stag Trait,Hooved,"""I suppose it was only a matter of time.""",Pixel Profligate,
Stinkbug,Stinkbug.png,Beast,Talking,2 bones,1,2,"Stinky, Double Death",,,Insect,"""Salutations. A lucky draw.""",Pixel Profligate,
Grave Diglin,GraveDiglin.png,Undead,Side Deck,free,0,1,Bone Digger,,Bloodless,Spectre,"A little spirit, happy to help.",Desaft,bloodless_bg
Shambling Cairn,ShamblingCairn.png,Undead,Side Deck,free,0,1,"Unburial, Loose Bones",,Bloodless,,"A critter, wandering burial grounds.",Murigen,bloodless_bg
Skeleton,Skeleton.png,Undead,Side Deck,free,1,1,"Unburial, Brittle",,Bloodless,Skeleton,A frail and spooky mass of bones.,Pixel Profligate,bloodless_bg
Draugr,Draugr.png,Undead,Common,free,0,1,Frozen Away,Skeleton,Bloodless,Possessed,"Frozen in time, waiting for freedom.",Pixel Profligate,bloodless_bg
Disturbed Grave,DisturbedGrave.png,Undead,Common,1 bone,0,2,Undeath,Zombie,Bloodless,Zombie,They never stay dead for long.,Pixel Profligate,bloodless_bg
Gnarl Bark,GnarlBark.png,Undead,Common,1 bone,0,3,"Rooted, Mighty Leap, Haunter",,,Possessed,A spooky visage in wood.,Pixel Profligate,
Gravedigger,Gravedigger.png,Undead,Common,1 bone,0,3,Bone Digger,,,,Willing to dig what needs to be dug.,Pixel Profligate,
Jikininki,Jikininki.png,Undead,Common,1 bone,0,3,Scavenger,,,Possessed,He'll leave the bones for you to take.,Murigen,
Tombit,Tombit.png,Undead,Common,1 bone,0,2,"Made of Stone, Memoriam",,,,"A small, but honorable commemoration.",Murigen,
Banshee,Banshee.png,Undead,Common,2 bones,1,2,Airborne,,,Spectre,"Rather happy, despite the crying.",Pixel Profligate,
Floating Urn,FloatingUrn.png,Undead,Common,2 bones,0,1,"Ensouled, Loose Bones",,Bloodless,Possessed,"Flings itself around the room, hazardly.",Murigen,bloodless_bg
Pyroclasm,Pyroclasm.png,Undead,Common,2 bones,0,1,"Energy Gun, Rotting",,Bloodless,Spectre,It is on the verge of burning out.,Murigen,bloodless_bg
Skelemagus,Skelemagus.png,Undead,Common,2 bones,X,1,Brittle,,Gem Power,Mox Skeleton,"A once proud mage, left to rot.",Pixel Profligate,
Skeleton Crewmate,SkeletonCrewmate.png,Undead,Common,2 bones,2,2,Brittle,,Skeleton Crew Trait,Skeleton Pirate,"A pirate in life, a pirate in death.","Murigen, Bluemem",
Tsutsugamushi,Tsutsugamushi.png,Undead,Common,2 bones,1,1,Bloodsucker,,,Insect Demon,"A bringer of illness, a siphon of life.",Murigen,
Zombie,Zombie.png,Undead,Common,2 bones,1,2,,,,Zombie,"Naught but a corpse, left to rot.",Pixel Profligate,
Animator,Animator.png,Undead,Common,4 bones,1,2,Puppet Master,,,Skeleton,The puppet becomes the puppeteer.,Murigen,
Ghast,Ghast.png,Undead,Common,3 bones,1,1,Stinky,,,Zombie,A corpse left rotten and deformed.,Pixel Profligate,
Grave Hopper,GraveHopper.png,Undead,Common,3 bones,1,3,"Burrower, Fracture",,,Skeleton,They just want to find their own grave.,Pixel Profligate,
Fiddlebones,Fiddlebones.png,Undead,Common,3 bones,0,3,"Sea Shanty, Sprinter, Memoriam",,,Spectre,Raves in taverns about lost sailors.,Murigen,
Privateer,Privateer.png,Undead,Common,3 bones,2,1,"Sniper, Aquanaut, Brittle",,,Skeleton Pirate,A good captain stops ships from sinking.,"Desaft, Nevernamed",
Revenant,Revenant.png,Undead,Common,3 bones,3,1,Brittle,,,Skeleton,A bringer of death and renderer of flesh.,Pixel Profligate,
Shade,Shade.png,Undead,Common,3 bones,0,1,"Stalker, Haunter",,,Spectre,Always looming in the background.,Murigen,
Shadow,Shadow.png,Undead,Common,3 bones,X,1,Haunting Reflection,,Mirror Power,Spectre,An apt reflection of those around it.,Pixel Profligate,
Shambler,Shambler.png,Undead,Common,3 bones,1,2,Horde,,,Zombie,Their numbers grow with their infection.,Pixel Profligate,
Skelemancer,Skelemancer.png,Undead,Common,3 bones,0,2,Double Death,,,Skeleton,Still training to raise the dead properly.,Desaft,
Spirit Orb,SpiritOrb.png,Undead,Common,3 bones,0,1,"Blue Gem, Haunter",,,Spectre,Even the lowliest of spirits have use.,Pixel Profligate,
Necrose,Necrose.png,Undead,Common,3 bones,1,1,Swarm,,,Zombie,Overcome with a strain of disease.,"Murigen, Prof. Eggnog",
The Bloated,TheBloated.png,Undead,Common,3 bones,1,1,Detonator,,The Bloated Trait,Zombie,"Grotesque boils, ready to burst.",Pixel Profligate,
Big Dig,BigDig.png,Undead,Common,4 bones,0,4,"Unburial, Tomb Digger",,,,"Sometimes, one little shovel isn't enough.",Murigen,
Exorcist,Exorcist.png,Undead,Common,4 bones,2,1,Purist,,,Skeleton,Banishing his kind.,Murigen,
Frank & Stein,Frank&Stein.png,Undead,Common,4 bones,2,2,,Zombie,,Zombie Conduit Construct,"Sewn together, friends forever.",Pixel Profligate,
Ghost Ship,GhostShip.png,Undead,Common,4 bones,0,1,"Waterborne, Skeleton Crew",,,Pirate Spectre,Fully staffed and ready to plunder.,Pixel Profligate,
Ghost of the Past,GhostofthePast.png,Undead,Common,4 bones,0,2,Reaction Replica,,,Spectre,Nothing you do shall go unpunished.,,
Hanged Man,HangedMan.png,Undead,Common,4 bones,3,1,"Airborne, Brittle",,,Skeleton,His broken body sways in the breeze.,Pixel Profligate,
Haunted Tombstone,HauntedTombstone.png,Undead,Common,4 bones,0,4,"Made of Stone, Night of the Living Dead",,,Possessed,A monument to the dearly departed.,Pixel Profligate,
Nosferatu,Nosferatu.png,Undead,Common,4 bones,1,4,"Bloodsucker, Flying Transformer",,,,A bloodsucking prowler of the night.,Pixel Profligate,
Sarcophagus,Sarcophagus.png,Undead,Common,4 bones,0,3,Creeping Outwards,Mummy Lord,,Possessed,Traps an evil on the verge of escape.,Pixel Profligate,
Scarecrow,Scarecrow.png,Undead,Common,4 bones,1,2,"Bifurcated Strike, Scavenger",,,,"Forced to harvest, as long as it stands.",Pixel Profligate,
The Walkers,TheWalkers.png,Undead,Common,4 bones,1,2,Bone King,,,Zombie,"They lived together, they died together.",Pixel Profligate,
Wechuge,Wechuge.png,Undead,Common,4 bones,1,2,"Double Strike, Ensouled",,,Possessed,An ancient cannibalistic spirit.,"Desaft, Nevernamed",
Allip,Allip.png,Undead,Common,5 bones,2,1,Soul Stealer,,,Spectre,A spiteful visage of what once was.,Murigen,
Bone Scrounger,BoneScrounger.png,Undead,Common,5 bones,1,3,"Bone Digger, Scavenger",,,Skeleton,Some are forced to scavenge the graves.,Pixel Profligate,
Cadaver Rat,CadaverRat.png,Undead,Common,5 bones,1,1,"Corpse Eater, Scavenger",,,Vermin Zombie,A corpse within a corpse.,Pixel Profligate,
Ectoplasm,Ectoplasm.png,Undead,Common,5 bones,1,2,"Fecundity, Memoriam",,,Spectre,"Remains of a spirit, quick to expand.",Pixel Profligate,
Gargoyle,Gargoyle.png,Undead,Common,5 bones,1,4,"Made of Stone, Guardian, Mighty Leap",,,Possessed,"Protecting the mausoleum, by force.",syntaxevasion,
Librarian,Librarian.png,Undead,Common,5 bones,1,2,"Hoarder, Memoriam",,,Skeleton,They search for knowledge beyond life.,Pixel Profligate,
Nurikabe,Nurikabe.png,Undead,Common,5 bones,0,3,"Burrower, Sharp Quills, Made of Stone, Bastion",,,Spectre,An invisible wall blocks the way.,Murigen,
Plague Doctor,PlagueDoctor.png,Undead,Common,5 bones,1,2,Touch of Death,,WERE THE RATS,,"Wherever they travel, death follows.",Murigen,
Possessed Armor,PossessedArmor.png,Undead,Common,5 bones,1,4,"Armored, Ensouled",,,Possessed,A common vessel for spirits.,Pixel Profligate,
Underworld Centurion,UnderworldCenturion.png,Undead,Common,5 bones,2,1,"Double Strike, Armored, Brittle",,,,"A legionnaire in life, a soldier beyond.",Murigen,
Bonehound,Bonehound.png,Undead,Common,6 bones,2,3,Guardian,,,Canine Skeleton Hound,"Ever loyal, even beyond the grave.",Pixel Profligate,
Coroner,Coroner.png,Undead,Common,6 bones,2,2,"Snag, Desecration",,,,The deceased won't resist much longer.,Murigen,
Head Hunter,HeadHunter.png,Undead,Common,6 bones,2,1,"Sniper, Skull Taker",,,,Bringing forth the rewards of each kill.,Desaft,
Heretic,Heretic.png,Undead,Common,5 bones,0,4,"Snag, Puppet Master",,,Skeleton,A persistent lie can be powerful.,Murigen,
Lich,Lich.png,Undead,Common,6 bones,2,1,"Leader, Memoriam",,,Skeleton,Ever emboldening their undead horde.,Pixel Profligate,
Pati-ant Zero,PatiantZero.png,Undead,Common,6 bones,1,1,"Corpse Eater, Poisonous",,,Zombie Ant Insect,Isn't nature beautiful?,Desaft,
Silent Wanderer,SilentWanderer.png,Undead,Common,6 bones,2,1,Spirit Medium,,,,,Murigen,
Billow,Billow.png,Undead,Common,7 bones,1,4,"Regurgitate, Detonator",,,Zombie,What horrors lay inside its abject gut?,Murigen,
Spine Wyrm,SpineWyrm.png,Undead,Common,7 bones,3,2,"Sharp Quills, Spine Walker",,,Skeleton Reptile,A monstrous force of ivory.,Pixel Profligate,
Bone Devil,BoneDevil.png,Undead,Common,9 bones,4,2,"Scavenger, Ensouled",,,Skeleton Demon,An infernal and sadistic creature.,Murigen,
Carrion Mouth,CarrionMouth.png,Undead,Common,10 bones,2,5,"Bloodsucker, Deathtrap",,,,"Locked away, and for good reason.",Pixel Profligate,
Rags,Rags.png,Undead,Common,2 energy,0,2,"Unburial, Haunter",,,Spectre,That one seems happier in death.,Murigen,
Lost Hewer,LostHewer.png,Undead,Common,3 energy,1,1,LATCHER_Bone Digger,,,Spectre,"Despite everything, the labor continues.",Murigen,
Spook,Spook.png,Undead,Common,3 energy,0,2,"Burrower, Fracture, Bone Digger",,,Spectre,Boo!,Murigen,
Poltergeist,Poltergeist.png,Undead,Common,4 energy,1,1,"Airborne, Warper",,,Spectre,An incorporeal menace.,"Desaft, Nevernamed",
Tsukumogami,Tsukumogami.png,Undead,Common,4 energy,0,1,"Bone Digger, Haunter",,,Possessed,A tool that's lived for a century.,Murigen,
Wraith,Wraith.png,Undead,Common,1 max + 8 energy,2,1,"Guardian, Sharp Quills",,,Spectre,An inescapable harbinger of death.,Murigen,
Clot,Clot.png,Undead,Common,2 blood,0,2,Fledgling,Meatman,,,An unfortunate pile of meat and thought.,Pixel Profligate,
Ghoul,Ghoul.png,Undead,Common,2 blood,2,2,"Corpse Eater, Rotting",,,Demon,A scavenger of fresh blood.,Pixel Profligate,
Mound of Flesh,MoundofFlesh.png,Undead,Common,2 blood,0,3,"Many Lives, Unkillable",,,,Forever regrowing its own tissue.,Pixel Profligate,
Meatman,Meatman.png,Undead,Common,3 blood,3,3,"Worthy Sacrifice, Haunter",,,Demon,An ever-imposing wall of meat.,Pixel Profligate,
Mimic,Mimic.png,Undead,Common,2 sapphires,0,2,"Fledgling, Gift Bearer",Carrion Mouth,,Possessed,Contains naught but secrets and fear.,Pixel Profligate,
The Smoke,TheSmoke.png,Undead,Uncommon,1 bone,0,1,Bone King,,Smoke Trait,Spectre,The last wisp of a life snuffed out.,Pixel Profligate,
Skelemaster,Skelemaster.png,Undead,Uncommon,5 bones,0,4,Recall the Broken,,Search Brittle,Skeleton,Has an affinity for all things brittle.,Murigen,
Gone,Gone.png,Undead,Uncommon,4 bones,0,1,LATCHER_Unkillable,,Gone Reminder,Spectre,,Desaft,
Pharaoh's Pets,PharaohsPets.png,Undead,Uncommon,6 bones,0,1,"Many Lives, Bloody Hemanation",,,Zombie,"An inseperable pair, fit for a king.",Pixel Profligate,
Summoner,Summoner.png,Undead,Uncommon,6 bones,0,4,"Soul Raiser, Memoriam",,,Demon,Its companions won't leave them so soon.,Murigen,
Nachzehrer,Nachzehrer.png,Undead,Uncommon,7 bones,2,1,"Bloodsucker, Bloodlust, Scrounger",,,Zombie,Consuming whatever carrion it can find.,Pixel Profligate,
Mummy Lord,MummyLord.png,Undead,Uncommon,8 bones,3,3,Purist,,,Noble Zombie,"A monster in life, a monster in death.",Pixel Profligate,
